country,date,sector,value,timestamp
Japan,25/01/2019,Power,1.8879,1548345600
ROW,25/01/2019,Power,13.2733,1548345600
Russia,25/01/2019,Power,3.03189,1548345600
Spain,25/01/2019,Power,0.186639,1548345600
UK,25/01/2019,Power,0.274069,1548345600
US,25/01/2019,Power,5.28852,1548345600
WORLD,25/01/2019,Power,43.4791,1548345600
Brazil,26/01/2019,Power,0.157312,1548432000
China,26/01/2019,Power,12.433,1548432000
EU27 & UK,26/01/2019,Power,2.92543,1548432000
France,26/01/2019,Power,0.131209,1548432000
Germany,26/01/2019,Power,0.801817,1548432000
India,26/01/2019,Power,3.08835,1548432000
Italy,26/01/2019,Power,0.260228,1548432000
Japan,26/01/2019,Power,1.79716,1548432000
ROW,26/01/2019,Power,12.0663,1548432000
Russia,26/01/2019,Power,3.00415,1548432000
Spain,26/01/2019,Power,0.152255,1548432000
UK,26/01/2019,Power,0.157723,1548432000
US,26/01/2019,Power,5.0537,1548432000
WORLD,26/01/2019,Power,40.5254,1548432000
Brazil,27/01/2019,Power,0.150393,1548518400
China,27/01/2019,Power,11.6294,1548518400
EU27 & UK,27/01/2019,Power,2.3658,1548518400
France,27/01/2019,Power,0.06856,1548518400
Germany,27/01/2019,Power,0.634529,1548518400
India,27/01/2019,Power,3.07996,1548518400
Italy,27/01/2019,Power,0.239658,1548518400
Japan,27/01/2019,Power,1.65967,1548518400
ROW,27/01/2019,Power,10.9887,1548518400
Russia,27/01/2019,Power,2.95527,1548518400
Spain,27/01/2019,Power,0.080294,1548518400
UK,27/01/2019,Power,0.146718,1548518400
US,27/01/2019,Power,4.67682,1548518400
WORLD,27/01/2019,Power,37.506,1548518400
Brazil,28/01/2019,Power,0.159037,1548604800
China,28/01/2019,Power,11.8944,1548604800
EU27 & UK,28/01/2019,Power,3.36599,1548604800
France,28/01/2019,Power,0.130237,1548604800
Germany,28/01/2019,Power,0.918699,1548604800
India,28/01/2019,Power,3.24786,1548604800
Italy,28/01/2019,Power,0.311083,1548604800
Japan,28/01/2019,Power,1.92227,1548604800
ROW,28/01/2019,Power,12.7501,1548604800
Russia,28/01/2019,Power,3.00836,1548604800
Spain,28/01/2019,Power,0.116801,1548604800
UK,28/01/2019,Power,0.281902,1548604800
US,28/01/2019,Power,4.74097,1548604800
WORLD,28/01/2019,Power,41.0891,1548604800
Brazil,29/01/2019,Power,0.181003,1548691200
China,29/01/2019,Power,11.1995,1548691200
EU27 & UK,29/01/2019,Power,3.79072,1548691200
France,29/01/2019,Power,0.152671,1548691200
Germany,29/01/2019,Power,1.0434,1548691200
India,29/01/2019,Power,3.32223,1548691200
Italy,29/01/2019,Power,0.36772,1548691200
Japan,29/01/2019,Power,1.88122,1548691200
ROW,29/01/2019,Power,13.2476,1548691200
Russia,29/01/2019,Power,2.97125,1548691200
Spain,29/01/2019,Power,0.14719,1548691200
UK,29/01/2019,Power,0.340313,1548691200
US,29/01/2019,Power,5.48106,1548691200
WORLD,29/01/2019,Power,42.0745,1548691200
Brazil,30/01/2019,Power,0.185643,1548777600
China,30/01/2019,Power,11.1067,1548777600
EU27 & UK,30/01/2019,Power,3.86465,1548777600
France,30/01/2019,Power,0.153148,1548777600
Germany,30/01/2019,Power,1.02027,1548777600
India,30/01/2019,Power,3.40018,1548777600
Italy,30/01/2019,Power,0.377061,1548777600
Japan,30/01/2019,Power,1.86789,1548777600
ROW,30/01/2019,Power,13.4834,1548777600
Russia,30/01/2019,Power,2.89075,1548777600
Spain,30/01/2019,Power,0.151125,1548777600
UK,30/01/2019,Power,0.372393,1548777600
US,30/01/2019,Power,6.01762,1548777600
WORLD,30/01/2019,Power,42.8169,1548777600
Brazil,31/01/2019,Power,0.196001,1548864000
China,31/01/2019,Power,10.8679,1548864000
EU27 & UK,31/01/2019,Power,3.89718,1548864000
France,31/01/2019,Power,0.159499,1548864000
Germany,31/01/2019,Power,1.09205,1548864000
India,31/01/2019,Power,3.3786,1548864000
Italy,31/01/2019,Power,0.334344,1548864000
Japan,31/01/2019,Power,1.96304,1548864000
ROW,31/01/2019,Power,13.8351,1548864000
Russia,31/01/2019,Power,2.8641,1548864000
Spain,31/01/2019,Power,0.11024,1548864000
UK,31/01/2019,Power,0.363413,1548864000
US,31/01/2019,Power,6.07503,1548864000
WORLD,31/01/2019,Power,43.0769,1548864000
Brazil,1/2/2019,Power,0.199103,1548950400
China,1/2/2019,Power,10.1111,1548950400
EU27 & UK,1/2/2019,Power,3.62591,1548950400
France,1/2/2019,Power,0.142535,1548950400
Germany,1/2/2019,Power,1.00953,1548950400
