,country,sector,value,timestamp,year,month,day
283,France,Power,0.161745,1548000000,2019,1,21
284,Germany,Power,1.1356,1548000000,2019,1,21
285,India,Power,3.29944,1548000000,2019,1,21
286,Italy,Power,0.399741,1548000000,2019,1,21
287,Japan,Power,1.7869599999999999,1548000000,2019,1,21
288,ROW,Power,13.0352,1548000000,2019,1,21
289,Russia,Power,2.84386,1548000000,2019,1,21
290,Spain,Power,0.214401,1548000000,2019,1,21
291,UK,Power,0.361657,1548000000,2019,1,21
292,US,Power,5.49785,1548000000,2019,1,21
293,WORLD,Power,43.8831,1548000000,2019,1,21
294,Brazil,Power,0.140541,1548086400,2019,1,22
295,China,Power,13.2526,1548086400,2019,1,22
296,EU27 & UK,Power,4.09247,1548086400,2019,1,22
297,France,Power,0.162303,1548086400,2019,1,22
298,Germany,Power,1.11869,1548086400,2019,1,22
299,India,Power,3.29104,1548086400,2019,1,22
300,Italy,Power,0.402625,1548086400,2019,1,22
301,Japan,Power,1.85024,1548086400,2019,1,22
302,ROW,Power,13.1959,1548086400,2019,1,22
303,Russia,Power,2.91722,1548086400,2019,1,22
304,Spain,Power,0.208419,1548086400,2019,1,22
305,UK,Power,0.365406,1548086400,2019,1,22
306,US,Power,5.3705300000000005,1548086400,2019,1,22
307,WORLD,Power,44.1105,1548086400,2019,1,22
308,Brazil,Power,0.168923,1548172800,2019,1,23
309,China,Power,13.1233,1548172800,2019,1,23
310,EU27 & UK,Power,4.15474,1548172800,2019,1,23
311,France,Power,0.165401,1548172800,2019,1,23
312,Germany,Power,1.14961,1548172800,2019,1,23
313,India,Power,3.43137,1548172800,2019,1,23
314,Italy,Power,0.403559,1548172800,2019,1,23
315,Japan,Power,1.8361599999999998,1548172800,2019,1,23
316,ROW,Power,13.1844,1548172800,2019,1,23
317,Russia,Power,3.00109,1548172800,2019,1,23
318,Spain,Power,0.144425,1548172800,2019,1,23
319,UK,Power,0.411843,1548172800,2019,1,23
320,US,Power,5.06851,1548172800,2019,1,23
321,WORLD,Power,43.9686,1548172800,2019,1,23
322,Brazil,Power,0.16705799999999998,1548259200,2019,1,24
323,China,Power,12.8882,1548259200,2019,1,24
324,EU27 & UK,Power,4.26199,1548259200,2019,1,24
325,France,Power,0.172797,1548259200,2019,1,24
326,Germany,Power,1.15257,1548259200,2019,1,24
327,India,Power,3.3666,1548259200,2019,1,24
328,Italy,Power,0.417225,1548259200,2019,1,24
329,Japan,Power,1.85775,1548259200,2019,1,24
330,ROW,Power,13.2629,1548259200,2019,1,24
331,Russia,Power,3.02179,1548259200,2019,1,24
332,Spain,Power,0.17574800000000002,1548259200,2019,1,24
333,UK,Power,0.42721800000000004,1548259200,2019,1,24
334,US,Power,4.8629,1548259200,2019,1,24
335,WORLD,Power,43.6892,1548259200,2019,1,24
336,Brazil,Power,0.14464200000000002,1548345600,2019,1,25
337,China,Power,12.6447,1548345600,2019,1,25
